name,url,id_label_in_documents
bãi cỏ,https://minio.aiotlab-annotation.com/documents/videos_samples/W00082.mp4?autoplay=true,1
bực mình,https://minio.aiotlab-annotation.com/documents/videos_samples/D0036.mp4?autoplay=true,2
ông bà,https://minio.aiotlab-annotation.com/documents/videos_samples/D0151B.mp4?autoplay=true,3
hay là (hoặc là),https://minio.aiotlab-annotation.com/documents/videos_samples/D0243B.mp4?autoplay=true,4
không cho,https://minio.aiotlab-annotation.com/documents/videos_samples/D0033B.mp4?autoplay=true,5
bên trên,https://minio.aiotlab-annotation.com/documents/videos_samples/W00240.mp4?autoplay=true,6
cùng / với (giới từ),https://minio.aiotlab-annotation.com/documents/videos_samples/D0166.mp4?autoplay=true,7
họ (2 người) (đại từ),https://minio.aiotlab-annotation.com/documents/videos_samples/D0136.mp4?autoplay=true,8
làm được,https://minio.aiotlab-annotation.com/documents/videos_samples/D0438.mp4?autoplay=true,9
ở ngoài,https://minio.aiotlab-annotation.com/documents/videos_samples/W02580B.mp4?autoplay=true,10
tuần này,https://minio.aiotlab-annotation.com/documents/videos_samples/D0416B.mp4?autoplay=true,11
từ chối,https://minio.aiotlab-annotation.com/documents/videos_samples/D0103B.mp4?autoplay=true,12
nhưng,https://minio.aiotlab-annotation.com/documents/videos_samples/D0242B.mp4?autoplay=true,13
một ít/ một chút,https://minio.aiotlab-annotation.com/documents/videos_samples/D0184.mp4?autoplay=true,14
là gì?,https://minio.aiotlab-annotation.com/documents/videos_samples/W01911B.mp4?autoplay=true,15
còn bạn?,https://minio.aiotlab-annotation.com/documents/videos_samples/D0121.mp4?autoplay=true,16
hoặc,https://minio.aiotlab-annotation.com/documents/videos_samples/D0188B.mp4?autoplay=true,17
có … không?,https://minio.aiotlab-annotation.com/documents/videos_samples/D0098.mp4?autoplay=true,18
các bạn,https://minio.aiotlab-annotation.com/documents/videos_samples/W00400.mp4?autoplay=true,19
để (đặt),https://minio.aiotlab-annotation.com/documents/videos_samples/W01173.mp4?autoplay=true,20
trong khoảng,https://minio.aiotlab-annotation.com/documents/videos_samples/D0290.mp4?autoplay=true,21
chúng tôi (2 người) (đại từ),https://minio.aiotlab-annotation.com/documents/videos_samples/D0130.mp4?autoplay=true,22
ra ngoài,https://minio.aiotlab-annotation.com/documents/videos_samples/W02825B.mp4?autoplay=true,23
khác,https://minio.aiotlab-annotation.com/documents/videos_samples/W01757.mp4?autoplay=true,24
làm việc,https://minio.aiotlab-annotation.com/documents/videos_samples/W01928.mp4?autoplay=true,25
thời gian biểu,https://minio.aiotlab-annotation.com/documents/videos_samples/W03303.mp4?autoplay=true,26
nói chuyện,https://minio.aiotlab-annotation.com/documents/videos_samples/W02523.mp4?autoplay=true,27
mỗi,https://minio.aiotlab-annotation.com/documents/videos_samples/W02237.mp4?autoplay=true,28
không có,https://minio.aiotlab-annotation.com/documents/videos_samples/D0112.mp4?autoplay=true,29
vui mừng,https://minio.aiotlab-annotation.com/documents/videos_samples/W03889B.mp4?autoplay=true,30
muốn,https://minio.aiotlab-annotation.com/documents/videos_samples/W02221B.mp4?autoplay=true,31
không khí,https://minio.aiotlab-annotation.com/documents/videos_samples/W01841.mp4?autoplay=true,32
cũng vậy/cũng thế,https://minio.aiotlab-annotation.com/documents/videos_samples/D0118.mp4?autoplay=true,33
chơi,https://minio.aiotlab-annotation.com/documents/videos_samples/W00639B.mp4?autoplay=true,34
nhỏ/ nhỏ bé,https://minio.aiotlab-annotation.com/documents/videos_samples/W02500.mp4?autoplay=true,35
cuối tuần,https://minio.aiotlab-annotation.com/documents/videos_samples/D0419.mp4?autoplay=true,36
nhà vệ sinh,https://minio.aiotlab-annotation.com/documents/videos_samples/D0485.mp4?autoplay=true,37
đọc sách,https://minio.aiotlab-annotation.com/documents/videos_samples/W01239.mp4?autoplay=true,38
tay,https://minio.aiotlab-annotation.com/documents/videos_samples/W03090.mp4?autoplay=true,39
cổng,https://minio.aiotlab-annotation.com/documents/videos_samples/W00854.mp4?autoplay=true,40
to lớn,https://minio.aiotlab-annotation.com/documents/videos_samples/W03466.mp4?autoplay=true,41
chính tả,https://minio.aiotlab-annotation.com/documents/videos_samples/W00619.mp4?autoplay=true,42
thêm,https://minio.aiotlab-annotation.com/documents/videos_samples/W03240.mp4?autoplay=true,43
đất,https://minio.aiotlab-annotation.com/documents/videos_samples/W01135.mp4?autoplay=true,44
phải không?,https://minio.aiotlab-annotation.com/documents/videos_samples/D0120B.mp4?autoplay=true,45
cao (người),https://minio.aiotlab-annotation.com/documents/videos_samples/W00415.mp4?autoplay=true,46
rộng lớn,https://minio.aiotlab-annotation.com/documents/videos_samples/W02872.mp4?autoplay=true,47
theo dõi,https://minio.aiotlab-annotation.com/documents/videos_samples/W03228.mp4?autoplay=true,48
hành động,https://minio.aiotlab-annotation.com/documents/videos_samples/W01554.mp4?autoplay=true,49
xin lỗi,https://minio.aiotlab-annotation.com/documents/videos_samples/W03990.mp4?autoplay=true,50
